Time,P_Value,Effect_Size,Pct_Diff_Mean
9am,9.174302153331537e-4,-0.036228884311173326,-3.2793341601867954
10am,2.9706823426622817e-7,-0.05601836277261956,-5.196988915746262
11am,4.290649108899187e-9,-0.06418599235014955,-0.0691681027910574
12pm,3.312657489254876e-10,-0.06868017307805946,-0.07956049956745394
1pm,0.0014970321058913646,-0.03470693977984316,-0.05782395132029307
3pm,3.7967784151950176e-14,-0.08271901321044269,-7.6589267655512865
4pm,1.7673785169281938e-135,-0.27075966404194385,-0.2486795355562113
5pm,3.605259919944946e-183,-0.3154339989004535,-28.397490028036984
6pm,3.5728247673088275e-137,-0.2724727421112358,-25.47825787542893
7pm,3.434661495890878e-4,-0.03912966880477301,-5.036205110559983
8pm,2.320499583845668e-25,-0.11373862056812045,15.253878095250528
9pm,1.5121431644154268e-14,-0.08401173972725726,10.550105276332413
10pm,0.007081077513109409,-0.02943572647805732,0.03828750458499148
