Timestamp,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/01/2022 00:00:00,715900,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715901,7,5,N,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715903,7,5,N,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715904,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715905,7,5,N,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715906,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715907,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715908,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715910,7,5,N,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715911,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715912,7,5,N,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715913,7,5,S,FR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715918,7,5,N,ML,0.885,0,0,1384.0,0.0247,68.2,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715920,7,5,S,ML,1.29,0,0,1711.0,0.04,63.9,0.0,0.0,0.0,0.0,0.0,0.2
02/01/2022 00:00:00,715923,7,5,S,OR,,0,0,,,,,,,,,
02/01/2022 00:00:00,715924,7,5,N,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715925,7,5,S,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715926,7,5,N,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715927,7,5,N,OR,,114,100,78.0,0.0095,,,,,,,
02/01/2022 00:00:00,715928,7,5,S,OR,,114,0,,,,,,,,,
02/01/2022 00:00:00,715929,7,5,S,ML,0.47,456,100,1402.0,0.0294,69.3,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715930,7,5,N,ML,0.505,456,100,1287.0,0.0294,66.6,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715932,7,5,S,OR,,114,100,85.0,0.0147,,,,,,,
