date,time,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/15/2022,00:00:00,715898,7,5,S,ML,0.43,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,715918,7,5,N,ML,0.885,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,715920,7,5,S,ML,1.29,0,0,2208,0.0459,64.7,0,0,0,0,0,0.1
02/15/2022,00:00:00,715929,7,5,S,ML,0.47,448,100,2028,0.0406,70.2,0,0,0,0,0,0
02/15/2022,00:00:00,715930,7,5,N,ML,0.505,448,75,2139,0.0452,69,0,0,0,0,0,0
02/15/2022,00:00:00,715933,7,5,N,ML,0.425,448,75,1788,0.0345,70.5,0,0,0,0,0,0
02/15/2022,00:00:00,715938,7,5,N,ML,0.545,447,100,2186,0.0378,69.6,0,0,0,0,0,0
02/15/2022,00:00:00,715944,7,5,N,ML,0.323,448,75,2447,0.0525,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,715947,7,5,S,ML,0.495,323,67,1768,0.0407,65.5,0,0,0,0,0,0.3
02/15/2022,00:00:00,715996,7,5,S,ML,0.275,0,0,1552,0.0283,66.7,0,0,0,0,0,0
02/15/2022,00:00:00,716007,7,5,N,ML,1.75,0,0,1832,0.0368,63.3,0,0,0,0,0,0.3
02/15/2022,00:00:00,716010,7,5,S,ML,0.6,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716016,7,5,S,ML,0.65,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716017,7,5,N,ML,0.53,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716023,7,5,N,ML,5,0,0,1329,0.0507,64.4,0,0,0,0,0,0.4
02/15/2022,00:00:00,716026,7,210,E,HV,0.8,112,100,80,0.0042,65,0,0,0,0,0,0
02/15/2022,00:00:00,716028,7,10,E,ML,0.291,0,0,656,0.0127,69,0,0,0,0,0,0
02/15/2022,00:00:00,716032,7,10,W,ML,0.38,0,0,1970,0.0422,64.2,0,0,0,0,0,0.1
02/15/2022,00:00:00,716036,7,10,E,ML,0.38,0,0,2067,0.0294,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,716047,7,10,E,ML,0.265,0,0,3129,0.0569,63.8,0,0,0,0,0,0.1
02/15/2022,00:00:00,716050,7,10,E,ML,0.42,0,0,2829,0.055,67.7,0,0,0,0,0,0
02/15/2022,00:00:00,716057,7,10,E,ML,0.25,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716063,7,10,W,ML,0.225,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716067,7,10,E,ML,0.125,336,100,849,0.0193,65.1,0,0,0,0,0,0.1
02/15/2022,00:00:00,716069,7,10,E,ML,0.25,448,0,1899,0.0422,67.3,0,0,0,0,0,0
02/15/2022,00:00:00,716072,7,10,E,ML,0.28,672,100,1821,0.0203,71.8,0,0,0,0,0,0
02/15/2022,00:00:00,716075,7,10,E,ML,0.37,672,100,1889,0.0202,71.6,0,0,0,0,0,0
02/15/2022,00:00:00,716076,7,10,W,ML,0.37,672,100,1080,0.0126,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,716078,7,10,E,ML,0.5,672,0,2005,0.0258,67.4,0,0,0,0,0,0
02/15/2022,00:00:00,716081,7,10,E,ML,0.19,448,100,1518,0.0235,70.2,0,0,0,0,0,0
02/15/2022,00:00:00,716084,7,10,W,ML,0.34,448,100,824,0.0145,67.9,0,0,0,0,0,0
02/15/2022,00:00:00,716085,7,10,E,ML,0.38,448,100,1755,0.0322,72,0,0,0,0,0,0
02/15/2022,00:00:00,716087,7,10,E,ML,0.428,560,100,2044,0.0255,72.7,0,0,0,0,0,0
02/15/2022,00:00:00,716088,7,10,W,ML,0.29,447,100,1175,0.0209,69.1,0,0,0,0,0,0
02/15/2022,00:00:00,716091,7,10,W,ML,0.495,448,0,1706,0.0236,65.5,0,0,0,0,0,0
02/15/2022,00:00:00,716092,7,10,E,ML,0.446,448,100,1936,0.0301,70.4,0,0,0,0,0,0
02/15/2022,00:00:00,716101,7,10,W,ML,0.38,336,75,1212,0.0253,67.4,0,0,0,0,0,0
