date,time,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/07/2022,00:00:00,715898,7,5,S,ML,0.43,0,0,2226,0.0305,69.9,0,0,0,0,0,0
02/07/2022,00:00:00,715918,7,5,N,ML,0.885,0,0,1560,0.0246,68.8,0,0,0,0,0,0
02/07/2022,00:00:00,715920,7,5,S,ML,1.29,0,0,1778,0.04,64.6,0,0,0,0,0,0.1
02/07/2022,00:00:00,715929,7,5,S,ML,0.47,446,100,1525,0.0292,65.6,0.1,0.2,0.3,0.3,0.4,0.5
02/07/2022,00:00:00,715930,7,5,N,ML,0.505,448,100,1641,0.0309,69.4,0,0,0,0,0,0.1
02/07/2022,00:00:00,715933,7,5,N,ML,0.425,448,100,1478,0.0231,69.4,0,0,0,0,0,0
02/07/2022,00:00:00,715938,7,5,N,ML,0.545,448,100,1731,0.0281,70,0,0,0,0,0,0
02/07/2022,00:00:00,715944,7,5,N,ML,0.323,448,75,2087,0.0457,66.5,0,0,0,0,0,0
02/07/2022,00:00:00,715947,7,5,S,ML,0.495,336,100,1265,0.024,65.6,0,0,0,0,0,0.1
02/07/2022,00:00:00,715996,7,5,S,ML,0.275,0,0,1272,0.0236,66.4,0,0,0,0,0,0
02/07/2022,00:00:00,716007,7,5,N,ML,1.75,0,0,1562,0.0246,69.4,0,0,0,0,0,0
02/07/2022,00:00:00,716010,7,5,S,ML,0.6,0,0,201,0.0082,65.1,0,0,0,0,0,0
02/07/2022,00:00:00,716016,7,5,S,ML,0.65,0,0,201,0.0082,65.1,0,0,0,0,0,0
02/07/2022,00:00:00,716017,7,5,N,ML,0.53,0,0,201,0.0082,65.1,0,0,0,0,0,0
02/07/2022,00:00:00,716023,7,5,N,ML,5,0,0,1123,0.0402,63.3,0,0,0,0,0,0.8
02/07/2022,00:00:00,716026,7,210,E,HV,0.8,112,100,84,0.0044,64.9,0,0,0,0,0,0
02/07/2022,00:00:00,716028,7,10,E,ML,0.291,335,100,655,0.015,66.4,0,0,0,0,0.1,0.1
02/07/2022,00:00:00,716032,7,10,W,ML,0.38,0,0,1715,0.0393,63.3,0,0,0,0,0,0.1
02/07/2022,00:00:00,716036,7,10,E,ML,0.38,0,0,2120,0.0385,66.9,0,0,0,0,0,0
02/07/2022,00:00:00,716047,7,10,E,ML,0.265,0,0,2206,0.0446,64.1,0,0,0,0,0,0
02/07/2022,00:00:00,716050,7,10,E,ML,0.42,0,0,2034,0.0434,68.3,0,0,0,0,0,0
02/07/2022,00:00:00,716057,7,10,E,ML,0.25,0,0,201,0.0082,65.1,0,0,0,0,0,0
02/07/2022,00:00:00,716063,7,10,W,ML,0.225,0,0,201,0.0082,65.1,0,0,0,0,0,0
02/07/2022,00:00:00,716067,7,10,E,ML,0.125,336,100,574,0.0107,69.6,0,0,0,0,0,0
02/07/2022,00:00:00,716069,7,10,E,ML,0.25,354,0,1679,0.0378,67.4,0,0,0,0,0,0
02/07/2022,00:00:00,716072,7,10,E,ML,0.28,671,100,1175,0.0125,70.7,0,0,0,0,0,0
02/07/2022,00:00:00,716075,7,10,E,ML,0.37,672,100,1257,0.0132,70.2,0,0,0,0,0,0
02/07/2022,00:00:00,716076,7,10,W,ML,0.37,672,100,987,0.0101,69.5,0,0,0,0,0,0
