date,time,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/10/2022,00:00:00,715898,7,5,S,ML,0.43,0,0,2261,0.0338,69.6,0,0,0,0,0,0
02/10/2022,00:00:00,715918,7,5,N,ML,0.885,0,0,1498,0.0268,68.5,0,0,0,0,0,0
02/10/2022,00:00:00,715920,7,5,S,ML,1.29,0,0,1997,0.0435,63.8,0,0,0,0,0,0.3
02/10/2022,00:00:00,715929,7,5,S,ML,0.47,480,100,1828,0.043,64.6,0,0,0.1,0.2,0.4,0.6
02/10/2022,00:00:00,715930,7,5,N,ML,0.505,480,100,1524,0.0341,68.1,0,0,0,0,0.1,0.2
02/10/2022,00:00:00,715933,7,5,N,ML,0.425,480,100,1343,0.0259,68.2,0,0,0,0,0,0.1
02/10/2022,00:00:00,715938,7,5,N,ML,0.545,480,100,1668,0.0306,69.2,0,0,0,0,0,0
02/10/2022,00:00:00,715944,7,5,N,ML,0.323,480,75,1972,0.0491,63.3,0,0,0,0,0,0.1
02/10/2022,00:00:00,715947,7,5,S,ML,0.495,359,100,1524,0.0399,62.7,0.2,0.3,0.4,0.6,0.9,1.1
02/10/2022,00:00:00,715996,7,5,S,ML,0.275,0,0,1768,0.0305,64.8,0,0,0,0,0,0
02/10/2022,00:00:00,716007,7,5,N,ML,1.75,0,0,1502,0.0268,69.1,0,0,0,0,0,0
02/10/2022,00:00:00,716010,7,5,S,ML,0.6,0,0,168,0.007,65.1,0,0,0,0,0,0
02/10/2022,00:00:00,716016,7,5,S,ML,0.65,0,0,168,0.007,65.1,0,0,0,0,0,0
02/10/2022,00:00:00,716017,7,5,N,ML,0.53,0,0,168,0.007,65.1,0,0,0,0,0,0
02/10/2022,00:00:00,716023,7,5,N,ML,5,0,0,1268,0.0522,63.6,0,0,0,0,0,0.6
02/10/2022,00:00:00,716026,7,210,E,HV,0.8,120,100,54,0.0028,65,0,0,0,0,0,0
02/10/2022,00:00:00,716028,7,10,E,ML,0.291,360,0,777,0.0146,69.2,0,0,0,0,0,0
02/10/2022,00:00:00,716032,7,10,W,ML,0.38,0,0,1868,0.0407,64.3,0,0,0,0,0,0
02/10/2022,00:00:00,716036,7,10,E,ML,0.38,0,0,2280,0.0323,70.5,0,0,0,0,0,0
02/10/2022,00:00:00,716047,7,10,E,ML,0.265,0,0,2549,0.0493,64.5,0,0,0,0,0,0
02/10/2022,00:00:00,716050,7,10,E,ML,0.42,0,0,2280,0.0473,67.8,0,0,0,0,0,0
02/10/2022,00:00:00,716057,7,10,E,ML,0.25,0,0,168,0.007,65.1,0,0,0,0,0,0
02/10/2022,00:00:00,716063,7,10,W,ML,0.225,0,0,168,0.007,65.1,0,0,0,0,0,0
02/10/2022,00:00:00,716067,7,10,E,ML,0.125,360,100,747,0.0142,69.6,0,0,0,0,0,0
02/10/2022,00:00:00,716069,7,10,E,ML,0.25,445,0,1904,0.0414,66.5,0,0,0,0,0,0
02/10/2022,00:00:00,716072,7,10,E,ML,0.28,719,100,1569,0.018,70.2,0,0,0,0,0,0
02/10/2022,00:00:00,716075,7,10,E,ML,0.37,720,100,1686,0.019,69.7,0,0,0,0,0,0
02/10/2022,00:00:00,716076,7,10,W,ML,0.37,719,100,957,0.0114,69.1,0,0,0,0,0,0
02/10/2022,00:00:00,716078,7,10,E,ML,0.5,720,0,1919,0.0252,65.9,0,0,0,0,0,0
02/10/2022,00:00:00,716081,7,10,E,ML,0.19,479,100,1369,0.0223,67.9,0,0,0,0,0,0.1
02/10/2022,00:00:00,716084,7,10,W,ML,0.34,479,100,740,0.0134,66.4,0,0,0,0,0,0
02/10/2022,00:00:00,716085,7,10,E,ML,0.38,480,0,1357,0.0429,64,0,0,0,0,0,0
02/10/2022,00:00:00,716087,7,10,E,ML,0.428,600,100,1803,0.0235,70.6,0,0,0,0,0,0
02/10/2022,00:00:00,716088,7,10,W,ML,0.29,480,0,3378,0.087,64.7,0,0,0,0,0,0.2
02/10/2022,00:00:00,716091,7,10,W,ML,0.495,480,0,1666,0.0224,65.7,0,0,0,0,0,0
02/10/2022,00:00:00,716092,7,10,E,ML,0.446,479,100,1748,0.0285,68.7,0,0,0,0,0,0
