Team,wins,rypa,yppa,t/o_margin,oppo.rypa,oppo.yppa
2020 bills,13,19,6,7,25,10
dolphins,10,29,23,4,19,27
patriots,7,8,20,11,20,24
jets,2,23,31,17,7,26
steelers,12,32,29,9,12,3
ravens,11,1,19,14,14,2
browns,11,7,16,5,13,18
bengals,4,27,25,25,31,22
titans,11,2,7,2,26,20
colts,11,14,11,3,1,19
texans,4,17,1,27,32,29
jaguars,1,11,27,26,27,31
chiefs,14,10,5,7,24,11
raiders,8,20,4,30,22,25
chargers,7,30,17,11,17,12
broncos,5,15,24,32,29,15
commanders,7,28,30,24,11,4
giants,6,13,26,17,9,14
cowboys,6,22,22,23,30,21
eagles,4,3,32,29,10,23
packers,13,6,3,6,18,13
bears,8,24,28,22,8,17
vikings,7,4,2,21,21,30
lions,5,26,10,27,16,32
saints,12,12,14,10,3,6
buccaneers,11,25,8,1,2,7
panthers,5,21,12,16,28,9
falcons,4,31,15,11,15,28
seahawks,12,5,13,15,4,16
rams,10,18,21,20,6,1
cardinals,8,9,18,17,23,8
49ers,6,16,9,30,5,5
2019 patriots,12,25,25,1,18,1
bills,10,11,22,11,17,3
jets,7,32,27,23,2,12
dolphins,5,31,23,27,22,30
ravens,14,1,12,9,23,5
steelers,8,30,31,6,3,4
browns,6,4,17,26,30,16
bengals,2,24,29,29,24,32
texans,10,9,10,15,28,24
titans,9,3,1,5,14,15
colts,7,10,30,12,11,23
jaguars,6,14,19,18,31,25
chiefs,12,20,6,8,29,6
broncos,7,21,20,13,13,14
raiders,7,17,8,21,5,31
chargers,5,23,9,31,15,18
eagles,9,19,26,22,7,20
cowboys,8,5,3,18,8,9
giants,4,8,21,31,4,29
commanders,3,13,24,13,25,22
packers,13,18,16,6,27,19
vikings,10,15,7,3,19,8
bears,8,29,32,15,6,7
lions,3,22,15,24,10,27
saints,13,16,11,2,12,11
falcons,7,26,14,24,16,26
buccaneers,7,28,5,28,1,13
panthers,5,7,28,29,32,17
49ers,13,6,2,10,21,2
seahawks,11,12,4,3,26,21
rams,9,27,13,15,9,10
cardinals,5,2,18,18,20,28
2018 patriots,11,20,10,6,25,7
dolphins,7,8,19,11,28,30
bills,6,21,31,23,10,3
jets,4,29,28,27,19,17
ravens,10,15,26,22,4,2
steelers,9,24,12,28,9,9
browns,7,10,15,8,23,10
bengals,6,7,27,15,24,29
texans,11,18,8,3,2,19
colts,10,17,23,13,7,12
titans,9,14,14,21,15,8
jaguars,5,26,30,29,14,4
chiefs,12,4,1,4,30,13
chargers,12,12,5,18,12,11
broncos,6,3,25,8,17,24
raiders,4,23,18,25,22,32
cowboys,10,16,16,13,5,16
eagles,9,31,13,26,20,15
commanders,7,19,29,8,18,20
giants,5,9,11,12,11,25
bears,12,27,17,2,3,1
vikings,8,25,22,19,8,5
packers,6,2,20,19,13,23
lions,6,28,24,23,16,26
saints,13,22,9,7,1,28
falcons,7,13,6,15,31,22
panthers,7,1,21,15,26,27
buccaneers,5,30,2,31,21,31
rams,13,5,4,5,27,21
seahawks,10,6,3,1,32,18
49ers,4,11,7,32,6,14
cardinals,3,32,32,29,29,6
2017 patriots,13,14,3,12,31,22
bills,9,15,29,8,25,12
dolphins,6,24,27,29,17,20
jets,5,20,17,23,15,19
steelers,13,25,6,15,28,16
ravens,9,19,32,1,16,3
bengals,7,29,23,27,22,5
browns,0,5,30,32,2,26
jaguars,10,10,14,3,23,1
titans,9,8,18,26,4,14
colts,4,28,24,9,10,32
texans,4,16,16,28,11,30
chiefs,10,1,2,2,27,23
chargers,9,26,5,4,32,4
raiders,6,13,21,29,13,28
broncos,5,18,26,31,1,17
eagles,13,6,11,5,9,9
cowboys,9,2,20,18,18,7
commanders,7,30,10,23,29,15
giants,3,22,31,20,19,27
vikings,13,23,12,13,5,2
lions,9,32,4,6,20,21
packers,7,4,28,20,7,29
bears,5,11,25,15,12,13
saints,11,3,1,11,26,18
panthers,11,9,19,15,8,25
falcons,10,12,7,14,21,8
buccaneers,5,27,8,18,24,31
rams,11,7,9,10,30,11
seahawks,9,21,13,7,14,6
cardinals,8,31,22,23,3,10
49ers,6,17,15,20,6,24
