hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100.00,100.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.87,100.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.32,100.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.73,100.96
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.32,101.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.81,101.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.01,101.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.01
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.83,101.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.08,102.26
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.97,103.29
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.85,103.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.37,104.37
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.10
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.93,105.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.50,105.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.95,105.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.11,105.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.52,106.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.53,106.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.16,107.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.41,107.71
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.74,108.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.38,108.44
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.30,108.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.20,108.82
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.20,109.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.79,109.69
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.91,110.41
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.11,110.81
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.58,111.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.05,112.06
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.20,112.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.50,112.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.79,113.40
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,114.00,114.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.36,114.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.08,114.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.26,115.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.10,115.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.81,116.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.87,116.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.26,116.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.30,117.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.90,117.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.05,118.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.83,118.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.02,119.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,119.83,119.79
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.37,120.01
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.66,120.73
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,121.97,120.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.19,121.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.63,122.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.20,122.77
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.46,123.30
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.73,123.69
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.60,123.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.02,124.68
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.83,125.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,125.82,125.77
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.64,126.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.17,127.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.88,127.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.42,127.66
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.04,128.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.79,128.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,129.96,128.71
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.80,128.71
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.63,129.92
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.46,130.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.92,130.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.52,130.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.67,131.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.04,131.09
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.48,131.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,133.95,132.14
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.29,132.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.50,132.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.43,133.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.72,133.60
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.64,133.94
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.52,134.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.41,134.75
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.61,135.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.47,135.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.26,136.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.34,136.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.29,137.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.62,137.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,139.94,138.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.48,139.05
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.01,139.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.39,140.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.27,141.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.21,141.53
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.42,142.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.33,142.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.14,143.18
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,145.89,144.19
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.66,144.67
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.39,145.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.10,146.29
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.07,146.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.48,147.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.17,147.48
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.37,148.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.53,149.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.16,149.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.13,150.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.18,151.18
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.35,151.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.70,152.58
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.48,153.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.72,153.75
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,9,155.87,154.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,10,155.95,154.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,11,155.83,155.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,12,156.19,156.10
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,1,156.36,156.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,2,157.30,157.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,3,158.42,157.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,4,159.70,158.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,5,161.02,159.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,6,161.80,159.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,7,162.50,160.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,8,162.80,160.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,9,163.11,161.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,10,163.80,162.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,11,163.28,162.55
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,12,163.20,163.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,1,163.53,163.96
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,2,164.06,164.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,3,165.52,165.04
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,4,166.41,165.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,5,168.02,165.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,6,169.21,166.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,7,169.69,167.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,8,170.03,167.68
