"row_id","campaign","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points_raw","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager","points_std","conf","year_c"
1,"Soviet Union 1970","WC-1970","T-72","Soviet Union","Group 1",3,2,1,0,6,1,5,5,1,"UEFA","Europe, Asia",1970,3,22,27.0454545454545,0.318181818181818,0.318181818181818,1.59090909090909,0.590909090909091,3,0.636363636363636,5,0,5,0,0,7,"UEFA",-6
2,"Mexico 1970","WC-1970","T-46","Mexico","Group 1",3,2,1,0,5,0,5,5,1,"CONCACAF","North America",1970,6,22,27,0.272727272727273,0.318181818181818,1.5,0.5,2,0.545454545454545,3,0,3,1,0,7,"CONCACAF",-6
3,"Belgium 1970","WC-1970","T-06","Belgium","Group 1",3,1,0,2,4,5,-1,2,0,"UEFA","Europe",1970,2,22,26.2727272727273,0.272727272727273,0.227272727272727,1.04545454545455,0,0,1,3,0,3,0,0,3,"UEFA",-6
4,"El Salvador 1970","WC-1970","T-27","El Salvador","Group 1",3,0,0,3,0,9,-9,0,0,"CONCACAF","Central America",1970,0,22,25.5909090909091,0.272727272727273,0.272727272727273,1,0,0,1,4,0,4,0,1,0,"CONCACAF",-6
5,"Italy 1970","WC-1970","T-41","Italy","Group 2",3,1,2,0,1,0,1,4,1,"UEFA","Europe",1970,4,22,27.3636363636364,0.227272727272727,0.363636363636364,1.90909090909091,0.409090909090909,2,0.681818181818182,1,0,1,0,0,5,"UEFA",-6
6,"Uruguay 1970","WC-1970","T-84","Uruguay","Group 2",3,1,1,1,2,1,1,3,1,"CONMEBOL","South America",1970,5,22,25.9545454545455,0.272727272727273,0.318181818181818,1.68181818181818,0.409090909090909,2,0.681818181818182,0,0,0,0,0,4,"CONMEBOL",-6
7,"Sweden 1970","WC-1970","T-74","Sweden","Group 2",3,1,1,1,2,2,0,3,0,"UEFA","Europe",1970,2,22,26.6818181818182,0.136363636363636,0.318181818181818,1.59090909090909,0,0,1,2,0,2,0,0,4,"UEFA",-6
8,"Israel 1970","WC-1970","T-40","Israel","Group 2",3,0,2,1,1,3,-2,2,0,"UEFA","Middle East",1970,0,22,24.8181818181818,0.272727272727273,0.272727272727273,1,0,0,1,4,0,4,0,0,2,"UEFA",-6
9,"Brazil 1970","WC-1970","T-09","Brazil","Group 3",3,3,0,0,8,3,5,6,1,"CONMEBOL","South America",1970,6,22,25.0454545454545,0.272727272727273,0.363636363636364,1.86363636363636,0.363636363636364,3,0.727272727272727,1,0,1,0,0,9,"CONMEBOL",-6
10,"England 1970","WC-1970","T-28","England","Group 3",3,2,0,1,2,1,1,4,1,"UEFA","Europe",1970,5,22,27.7727272727273,0.227272727272727,0.363636363636364,1.59090909090909,0.590909090909091,3,0.545454545454545,1,0,1,0,0,6,"UEFA",-6
11,"Romania 1970","WC-1970","T-61","Romania","Group 3",3,1,0,2,4,5,-1,2,0,"UEFA","Europe",1970,1,22,25.5,0.227272727272727,0.363636363636364,1,0,0,1,3,0,3,0,0,3,"UEFA",-6
12,"Czechoslovakia 1970","WC-1970","T-21","Czechoslovakia","Group 3",3,0,0,3,2,7,-5,0,0,"UEFA","Europe",1970,3,22,25.5909090909091,0.272727272727273,0.318181818181818,1.09090909090909,0.0909090909090909,1,0.909090909090909,2,0,2,0,0,0,"UEFA",-6
13,"West Germany 1970","WC-1970","T-86","West Germany","Group 4",3,3,0,0,10,4,6,6,1,"UEFA","Europe",1970,4,22,27.8636363636364,0.318181818181818,0.318181818181818,2.31818181818182,0.909090909090909,3,0.363636363636364,0,0,0,0,1,9,"UEFA",-6
