team_name,group_name,confederation_code,conf,is_host,year,year_c,prior_tournaments,advanced,avg_prior_wc,avg_age,forward_share,defender_share,foreign_manager
Algeria,J,CAF,CAF,0,2026,8,4,1,NA,NA,NA,NA,NA
Argentina,J,CONMEBOL,CONMEBOL,0,2026,8,17,1,NA,NA,NA,NA,NA
Australia,D,AFC,AFC,0,2026,8,6,1,NA,NA,NA,NA,NA
Austria,J,UEFA,UEFA,0,2026,8,6,1,NA,NA,NA,NA,NA
Belgium,G,UEFA,UEFA,0,2026,8,12,1,NA,NA,NA,NA,NA
Bosnia and Herzegovina,B,UEFA,UEFA,0,2026,8,1,1,NA,NA,NA,NA,NA
Brazil,C,CONMEBOL,CONMEBOL,0,2026,8,20,1,NA,NA,NA,NA,NA
Canada,B,CONCACAF,CONCACAF,1,2026,8,2,1,NA,NA,NA,NA,NA
Cape Verde,H,CAF,CAF,0,2026,8,0,1,NA,NA,NA,NA,NA
Colombia,K,CONMEBOL,CONMEBOL,0,2026,8,6,1,NA,NA,NA,NA,NA
Croatia,L,UEFA,UEFA,0,2026,8,6,1,NA,NA,NA,NA,NA
Curacao,E,CONCACAF,CONCACAF,0,2026,8,0,0,NA,NA,NA,NA,NA
Czechia,A,UEFA,UEFA,0,2026,8,1,0,NA,NA,NA,NA,NA
DR Congo,K,CAF,CAF,0,2026,8,1,1,NA,NA,NA,NA,NA
Ecuador,E,CONMEBOL,CONMEBOL,0,2026,8,4,1,NA,NA,NA,NA,NA
Egypt,G,CAF,CAF,0,2026,8,2,1,NA,NA,NA,NA,NA
England,L,UEFA,UEFA,0,2026,8,16,1,NA,NA,NA,NA,NA
France,I,UEFA,UEFA,0,2026,8,14,1,NA,NA,NA,NA,NA
Germany,E,UEFA,UEFA,0,2026,8,8,1,NA,NA,NA,NA,NA
Ghana,L,CAF,CAF,0,2026,8,4,1,NA,NA,NA,NA,NA
Haiti,C,CONCACAF,CONCACAF,0,2026,8,1,0,NA,NA,NA,NA,NA
Iran,G,AFC,AFC,0,2026,8,6,0,NA,NA,NA,NA,NA
Iraq,I,AFC,AFC,0,2026,8,1,0,NA,NA,NA,NA,NA
Ivory Coast,E,CAF,CAF,0,2026,8,3,1,NA,NA,NA,NA,NA
Japan,F,AFC,AFC,0,2026,8,7,1,NA,NA,NA,NA,NA
Jordan,J,AFC,AFC,0,2026,8,0,0,NA,NA,NA,NA,NA
Mexico,A,CONCACAF,CONCACAF,1,2026,8,17,1,NA,NA,NA,NA,NA
Morocco,C,CAF,CAF,0,2026,8,6,1,NA,NA,NA,NA,NA
Netherlands,F,UEFA,UEFA,0,2026,8,9,1,NA,NA,NA,NA,NA
New Zealand,G,OFC,OFC,0,2026,8,2,0,NA,NA,NA,NA,NA
Norway,I,UEFA,UEFA,0,2026,8,2,1,NA,NA,NA,NA,NA
Panama,L,CONCACAF,CONCACAF,0,2026,8,1,0,NA,NA,NA,NA,NA
Paraguay,D,CONMEBOL,CONMEBOL,0,2026,8,8,1,NA,NA,NA,NA,NA
Portugal,K,UEFA,UEFA,0,2026,8,8,1,NA,NA,NA,NA,NA
Qatar,B,AFC,AFC,0,2026,8,1,0,NA,NA,NA,NA,NA
Saudi Arabia,H,AFC,AFC,0,2026,8,6,0,NA,NA,NA,NA,NA
Scotland,C,UEFA,UEFA,0,2026,8,8,0,NA,NA,NA,NA,NA
Senegal,I,CAF,CAF,0,2026,8,3,1,NA,NA,NA,NA,NA
South Africa,A,CAF,CAF,0,2026,8,3,1,NA,NA,NA,NA,NA
South Korea,A,AFC,AFC,0,2026,8,11,0,NA,NA,NA,NA,NA
Spain,H,UEFA,UEFA,0,2026,8,15,1,NA,NA,NA,NA,NA
Sweden,F,UEFA,UEFA,0,2026,8,10,1,NA,NA,NA,NA,NA
Switzerland,B,UEFA,UEFA,0,2026,8,10,1,NA,NA,NA,NA,NA
Tunisia,F,CAF,CAF,0,2026,8,6,0,NA,NA,NA,NA,NA
Turkey,D,UEFA,UEFA,0,2026,8,2,0,NA,NA,NA,NA,NA
United States,D,CONCACAF,CONCACAF,1,2026,8,10,1,NA,NA,NA,NA,NA
Uruguay,H,CONMEBOL,CONMEBOL,0,2026,8,14,0,NA,NA,NA,NA,NA
Uzbekistan,K,AFC,AFC,0,2026,8,0,0,NA,NA,NA,NA,NA
