County,Date,MedianPrice,DaysOnMarket,UII,HAI,QuarterNumber,QuarterActual,Year
Alameda,2021-01-01,1107666.6666666667,8.333333333333334,1.4666666666666668,0.22,1,1,2021
Alameda,2021-04-01,1304166.6666666667,7.666666666666667,1.3,0.18,2,2,2021
Alameda,2021-07-01,1300000.0,9.333333333333334,1.3666666666666665,0.19,3,3,2021
Alameda,2021-10-01,1260000.0,11.333333333333334,0.9666666666666667,0.2,4,4,2021
Alameda,2022-01-01,1343333.3333333333,8.666666666666666,1.5333333333333332,0.17,5,1,2022
Alameda,2022-04-01,1471020.0,9.666666666666666,1.6333333333333335,0.15,6,2,2022
Alameda,2022-07-01,1248333.3333333333,16.333333333333332,2.0666666666666664,0.17,7,3,2022
Alameda,2022-10-01,1137666.6666666667,18.333333333333332,1.5999999999999999,0.18,8,4,2022
Alameda,2023-01-01,1095333.3333333333,17.0,1.5999999999999999,0.18,9,1,2023
Alameda,2023-04-01,1263333.3333333333,10.666666666666666,1.2,0.16,10,2,2023
Alameda,2023-07-01,1270000.0,11.333333333333334,1.4333333333333333,0.16,11,3,2023
Alameda,2023-10-01,1215000.0,13.666666666666666,1.2666666666666668,0.16,12,4,2023
Alameda,2024-01-01,1267666.6666666667,13.0,1.5666666666666667,0.16,13,1,2024
Alameda,2024-04-01,1381820.0,11.333333333333334,1.5999999999999999,0.16,14,2,2024
Alameda,2024-07-01,1273333.3333333333,13.666666666666666,2.2333333333333334,0.18,15,3,2024
Alameda,2024-10-01,1243666.6666666667,16.333333333333332,1.6333333333333335,0.18,16,4,2024
Alameda,2025-01-01,1276666.6666666667,13.166666666666666,2.9333333333333336,0.19,17,1,2025
Alameda,2025-04-01,1345666.6666666667,13.666666666666666,2.6,0.19,18,2,2025
Alameda,2025-07-01,1256333.3333333333,16.0,2.466666666666667,0.21,19,3,2025
Amador,2021-01-01,407510.0,20.666666666666668,2.1,0.44,1,1,2021
Amador,2021-04-01,434500.0,9.5,2.1999999999999997,0.4,2,2,2021
Amador,2021-07-01,424500.0,11.166666666666666,2.6333333333333333,0.42,3,3,2021
Amador,2021-10-01,420713.3333333333,20.166666666666668,1.9333333333333333,0.43,4,4,2021
Amador,2022-01-01,429666.6666666667,21.666666666666668,2.8333333333333335,0.4,5,1,2022
Amador,2022-04-01,436083.3333333333,15.166666666666666,3.466666666666667,0.32,6,2,2022
Amador,2022-07-01,413783.3333333333,35.5,4.8,0.34,7,3,2022
Amador,2022-10-01,392916.6666666667,42.333333333333336,4.8,0.34,8,4,2022
Amador,2023-01-01,409646.6666666667,51.0,4.2,0.33,9,1,2023
Amador,2023-04-01,464666.6666666667,26.333333333333332,4.666666666666667,0.28,10,2,2023
Amador,2023-07-01,448750.0,30.5,5.066666666666666,0.26,11,3,2023
Amador,2023-10-01,409333.3333333333,33.0,5.666666666666667,0.31,12,4,2023
Amador,2024-01-01,444833.3333333333,48.666666666666664,5.5,0.3,13,1,2024
Amador,2024-04-01,432166.6666666667,34.333333333333336,6.3,0.32,14,2,2024
Amador,2024-07-01,420833.3333333333,36.5,6.733333333333333,0.38,15,3,2024
Amador,2024-10-01,435000.0,47.0,5.333333333333333,0.34,16,4,2024
Amador,2025-01-01,445666.6666666667,45.666666666666664,7.6000000000000005,0.35,17,1,2025
Amador,2025-04-01,439166.6666666667,43.833333333333336,7.8999999999999995,0.35,18,2,2025
Amador,2025-07-01,435166.6666666667,64.33333333333333,7.866666666666666,0.36,19,3,2025
Butte,2021-01-01,407666.6666666667,12.166666666666666,2.3000000000000003,0.37,1,1,2021
Butte,2021-04-01,441833.3333333333,6.666666666666667,1.9000000000000001,0.33,2,2,2021
Butte,2021-07-01,443460.0,8.166666666666666,2.066666666666667,0.35,3,3,2021
