county_name,tax_returns_inflow,individuals_inflow,agi_inflow
Alameda County Total Migration-US and Foreign,43682,68080,6230712
Alpine County Total Migration-US and Foreign,21,33,1957
Amador County Total Migration-US and Foreign,1480,2530,121740
Butte County Total Migration-US and Foreign,4726,7849,275031
Calaveras County Total Migration-US and Foreign,1647,3082,154735
Colusa County Total Migration-US and Foreign,377,725,23839
Contra Costa County Total Migration-US and Foreign,27074,48153,4406137
Del Norte County Total Migration-US and Foreign,556,934,32003
El Dorado County Total Migration-US and Foreign,6182,11018,747175
Fresno County Total Migration-US and Foreign,12395,22123,734241
Glenn County Total Migration-US and Foreign,571,1047,27889
Humboldt County Total Migration-US and Foreign,2736,4062,165286
Imperial County Total Migration-US and Foreign,2564,4739,104934
Inyo County Total Migration-US and Foreign,465,696,31556
Kern County Total Migration-US and Foreign,13315,25872,726414
Kings County Total Migration-US and Foreign,3311,6030,151284
Lake County Total Migration-US and Foreign,1459,2612,88066
Lassen County Total Migration-US and Foreign,706,1200,34783
Los Angeles County Total Migration-US and Foreign,124328,180752,12814487
Madera County Total Migration-US and Foreign,3592,7058,234186
Marin County Total Migration-US and Foreign,6278,9990,1944011
Mariposa County Total Migration-US and Foreign,557,972,41252
Mendocino County Total Migration-US and Foreign,1629,2673,133213
Merced County Total Migration-US and Foreign,5411,11073,291815
Modoc County Total Migration-US and Foreign,191,365,7353
Mono County Total Migration-US and Foreign,438,682,39689
Monterey County Total Migration-US and Foreign,7615,13308,1540147
Napa County Total Migration-US and Foreign,3182,5061,422766
Nevada County Total Migration-US and Foreign,3605,6042,480400
Orange County Total Migration-US and Foreign,59585,96611,6837899
Placer County Total Migration-US and Foreign,14556,26880,1693453
Plumas County Total Migration-US and Foreign,523,886,44127
Riverside County Total Migration-US and Foreign,60407,113590,4873967
Sacramento County Total Migration-US and Foreign,32870,53864,2713241
San Benito County Total Migration-US and Foreign,2011,3810,195130
San Bernardino County Total Migration-US and Foreign,49508,92393,3019550
San Diego County Total Migration-US and Foreign,70260,112882,7270152
San Francisco County Total Migration-US and Foreign,33804,41379,6917590
San Joaquin County Total Migration-US and Foreign,16617,32908,1445778
San Luis Obispo County Total Migration-US and Foreign,6742,10672,701045
San Mateo County Total Migration-US and Foreign,22436,33547,4748265
Santa Barbara County Total Migration-US and Foreign,7989,12591,1352745
Santa Clara County Total Migration-US and Foreign,45121,66991,8301047
Santa Cruz County Total Migration-US and Foreign,5671,8782,773412
Shasta County Total Migration-US and Foreign,4078,7165,265927
Sierra County Total Migration-US and Foreign,87,147,6847
Siskiyou County Total Migration-US and Foreign,1041,1758,66598
Solano County Total Migration-US and Foreign,11976,21275,922114
Sonoma County Total Migration-US and Foreign,9989,15551,1426608
Stanislaus County Total Migration-US and Foreign,9263,17734,582142
Sutter County Total Migration-US and Foreign,2157,4045,111726
Tehama County Total Migration-US and Foreign,1528,2799,82158
Trinity County Total Migration-US and Foreign,257,460,15137
Tulare County Total Migration-US and Foreign,5709,10697,296599
Tuolumne County Total Migration-US and Foreign,1497,2575,122446
Ventura County Total Migration-US and Foreign,15992,27238,2021618
Yolo County Total Migration-US and Foreign,6396,10081,461640
Yuba County Total Migration-US and Foreign,3397,6912,197028
