county_name,tax_returns_outflow,individuals_outflow,agi_outflow
Alameda County Total Migration-US and Foreign,55667,94920,8693754
Alpine County Total Migration-US and Foreign,58,89,7187
Amador County Total Migration-US and Foreign,1159,1942,70112
Butte County Total Migration-US and Foreign,4984,8011,300533
Calaveras County Total Migration-US and Foreign,1440,2518,122907
Colusa County Total Migration-US and Foreign,424,775,24878
Contra Costa County Total Migration-US and Foreign,32075,55687,4936224
Del Norte County Total Migration-US and Foreign,652,1150,30830
El Dorado County Total Migration-US and Foreign,6637,11076,687613
Fresno County Total Migration-US and Foreign,14302,25787,1031586
Glenn County Total Migration-US and Foreign,725,1346,39425
Humboldt County Total Migration-US and Foreign,3082,4663,187742
Imperial County Total Migration-US and Foreign,3207,5842,144207
Inyo County Total Migration-US and Foreign,558,915,37498
Kern County Total Migration-US and Foreign,14811,28326,993045
Kings County Total Migration-US and Foreign,3883,7451,216615
Lake County Total Migration-US and Foreign,1473,2521,95875
Lassen County Total Migration-US and Foreign,1034,1739,50839
Los Angeles County Total Migration-US and Foreign,177268,298210,19081049
Madera County Total Migration-US and Foreign,3202,5889,171556
Marin County Total Migration-US and Foreign,7796,12358,1738319
Mariposa County Total Migration-US and Foreign,568,973,38141
Mendocino County Total Migration-US and Foreign,2085,3435,161508
Merced County Total Migration-US and Foreign,5523,10298,289483
Modoc County Total Migration-US and Foreign,207,336,10244
Mono County Total Migration-US and Foreign,576,925,61692
Monterey County Total Migration-US and Foreign,10141,17855,848713
Napa County Total Migration-US and Foreign,3874,6403,449514
Nevada County Total Migration-US and Foreign,3717,6050,446363
Orange County Total Migration-US and Foreign,74579,126442,8430188
Placer County Total Migration-US and Foreign,13003,22700,1360512
Plumas County Total Migration-US and Foreign,725,1303,57334
Riverside County Total Migration-US and Foreign,57357,104167,4237112
Sacramento County Total Migration-US and Foreign,37981,65729,2998789
San Benito County Total Migration-US and Foreign,1811,3402,133275
San Bernardino County Total Migration-US and Foreign,52444,96930,3448507
San Diego County Total Migration-US and Foreign,79590,139747,7690700
San Francisco County Total Migration-US and Foreign,38188,54937,11752233
San Joaquin County Total Migration-US and Foreign,16474,30246,1208548
San Luis Obispo County Total Migration-US and Foreign,7034,11105,600990
San Mateo County Total Migration-US and Foreign,27181,45162,7372754
Santa Barbara County Total Migration-US and Foreign,10788,17377,1017965
Santa Clara County Total Migration-US and Foreign,57617,100109,14141696
Santa Cruz County Total Migration-US and Foreign,7434,11761,829053
Shasta County Total Migration-US and Foreign,4155,7264,261319
Sierra County Total Migration-US and Foreign,85,153,6309
Siskiyou County Total Migration-US and Foreign,1096,1834,62715
Solano County Total Migration-US and Foreign,12954,22894,962273
Sonoma County Total Migration-US and Foreign,10799,16965,1429403
Stanislaus County Total Migration-US and Foreign,10778,20137,757485
Sutter County Total Migration-US and Foreign,2564,4846,144875
Tehama County Total Migration-US and Foreign,1513,2763,82916
Trinity County Total Migration-US and Foreign,312,517,16880
Tulare County Total Migration-US and Foreign,6407,11849,382968
Tuolumne County Total Migration-US and Foreign,1519,2494,128690
Ventura County Total Migration-US and Foreign,19344,32966,2062815
Yolo County Total Migration-US and Foreign,7400,11639,540195
Yuba County Total Migration-US and Foreign,3034,6206,174981
