y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
6,1,96,0,CA,Alameda County Total Migration-US and Foreign,43682,68080,6230712
6,1,97,0,CA,Alameda County Total Migration-US,43637,68000,6227603
6,1,97,1,CA,Alameda County Total Migration-Same State,31415,49813,4870165
6,1,97,3,CA,Alameda County Total Migration-Different State,12222,18187,1357438
6,1,98,0,CA,Alameda County Total Migration-Foreign,45,80,3110
6,1,6,1,CA,Alameda County Non-migrants,634717,1241066,102218029
6,1,6,85,CA,Santa Clara County,7414,13381,1610744
6,1,6,13,CA,Contra Costa County,5170,8156,729288
6,1,6,75,CA,San Francisco County,4602,6523,1045723
6,1,6,81,CA,San Mateo County,2907,4840,478366
6,1,6,37,CA,Los Angeles County,2039,2788,209496
6,1,6,77,CA,San Joaquin County,1588,2771,115541
6,1,6,67,CA,Sacramento County,1039,1587,73862
6,1,6,73,CA,San Diego County,810,1139,88275
6,1,6,95,CA,Solano County,692,1078,43778
6,1,6,59,CA,Orange County,621,913,58439
6,1,53,33,WA,King County,558,839,98919
6,1,6,99,CA,Stanislaus County,487,852,31160
6,1,17,31,IL,Cook County,462,676,60391
6,1,6,41,CA,Marin County,385,521,66211
6,1,6,97,CA,Sonoma County,364,495,36719
6,1,4,13,AZ,Maricopa County,307,466,36108
6,1,6,65,CA,Riverside County,297,420,20122
6,1,25,17,MA,Middlesex County,292,393,43137
6,1,6,87,CA,Santa Cruz County,288,363,24807
6,1,32,3,NV,Clark County,279,426,18986
6,1,36,47,NY,Kings County,273,365,29636
6,1,6,113,CA,Yolo County,251,330,21336
6,1,36,61,NY,New York County,244,304,44410
6,1,6,71,CA,San Bernardino County,239,349,17599
6,1,48,201,TX,Harris County,223,379,24132
6,1,6,19,CA,Fresno County,214,319,12459
6,1,41,51,OR,Multnomah County,188,234,17699
6,1,6,83,CA,Santa Barbara County,181,223,16689
6,1,6,53,CA,Monterey County,175,271,15678
6,1,11,1,DC,District of Columbia,169,209,28893
6,1,6,61,CA,Placer County,166,262,21381
6,1,48,453,TX,Travis County,165,244,22654
6,1,6,111,CA,Ventura County,160,237,15654
6,1,15,3,HI,Honolulu County,152,228,13116
6,1,26,125,MI,Oakland County,144,250,18540
6,1,32,31,NV,Washoe County,142,177,14874
6,1,25,25,MA,Suffolk County,141,169,13448
6,1,6,47,CA,Merced County,139,221,8800
6,1,6,29,CA,Kern County,135,211,9204
6,1,48,113,TX,Dallas County,133,198,13127
6,1,13,121,GA,Fulton County,130,186,13124
6,1,36,81,NY,Queens County,129,181,10959
6,1,42,101,PA,Philadelphia County,128,161,11856
6,1,6,55,CA,Napa County,120,178,18130
6,1,41,67,OR,Washington County,108,183,15218
6,1,6,79,CA,San Luis Obispo County,106,144,8308
6,1,27,53,MN,Hennepin County,105,151,10374
6,1,51,59,VA,Fairfax County,103,166,12300
6,1,8,31,CO,Denver County,102,125,15674
6,1,6,17,CA,El Dorado County,101,145,9712
6,1,49,35,UT,Salt Lake County,101,163,12061
6,1,48,85,TX,Collin County,98,157,11351
6,1,34,17,NJ,Hudson County,95,151,16998
6,1,42,3,PA,Allegheny County,92,133,10467
6,1,24,31,MD,Montgomery County,88,118,9012
6,1,6,7,CA,Butte County,79,108,3437
6,1,26,161,MI,Washtenaw County,78,103,8333
6,1,6,57,CA,Nevada County,77,117,15119
6,1,4,19,AZ,Pima County,76,120,5438
6,1,37,183,NC,Wake County,73,114,8192
6,1,53,61,WA,Snohomish County,73,146,12985
6,1,48,439,TX,Tarrant County,71,109,5001
6,1,24,510,MD,Baltimore city,69,92,6327
6,1,26,163,MI,Wayne County,68,130,8618
6,1,25,21,MA,Norfolk County,67,94,7348
6,1,55,25,WI,Dane County,67,84,5516
6,1,6,107,CA,Tulare County,65,100,4356
6,1,39,49,OH,Franklin County,65,96,6528
6,1,12,86,FL,Miami-Dade County,63,88,4634
6,1,8,13,CO,Boulder County,62,79,5299
6,1,34,23,NJ,Middlesex County,62,111,7235
6,1,6,45,CA,Mendocino County,61,79,8080
6,1,12,11,FL,Broward County,60,92,5782
6,1,41,39,OR,Lane County,60,92,3829
6,1,48,29,TX,Bexar County,60,91,3975
6,1,39,35,OH,Cuyahoga County,57,83,5308
6,1,9,170,CT,South Central Connecticut Plannin,56,71,4066
6,1,24,33,MD,Prince George's County,55,63,3859
6,1,53,53,WA,Pierce County,55,80,3493
6,1,6,23,CA,Humboldt County,54,77,4504
6,1,48,491,TX,Williamson County,53,105,6251
6,1,37,119,NC,Mecklenburg County,52,78,7396
6,1,35,1,NM,Bernalillo County,51,78,5442
6,1,13,135,GA,Gwinnett County,50,87,5691
6,1,17,43,IL,DuPage County,50,81,7280
6,1,51,13,VA,Arlington County,50,68,6129
6,1,48,157,TX,Fort Bend County,49,86,4809
6,1,12,57,FL,Hillsborough County,48,72,2824
6,1,34,3,NJ,Bergen County,47,73,6892
6,1,36,59,NY,Nassau County,47,62,4295
6,1,8,59,CO,Jefferson County,46,70,7607
6,1,17,19,IL,Champaign County,46,62,2231
6,1,29,189,MO,St. Louis County,46,78,3709
6,1,57,5,FR,Foreign - APO/FPO ZIPs,45,80,3110
6,1,55,79,WI,Milwaukee County,44,68,6738
6,1,6,109,CA,Tuolumne County,43,51,5185
6,1,13,89,GA,DeKalb County,43,63,3870
6,1,22,71,LA,Orleans Parish,43,53,2914
6,1,34,21,NJ,Mercer County,43,77,6670
6,1,12,95,FL,Orange County,42,65,2538
6,1,18,157,IN,Tippecanoe County,42,56,2345
6,1,36,119,NY,Westchester County,42,62,3593
6,1,8,5,CO,Arapahoe County,41,62,4367
6,1,36,103,NY,Suffolk County,41,54,2911
6,1,37,63,NC,Durham County,41,56,5454
6,1,17,97,IL,Lake County,40,71,5031
6,1,20,91,KS,Johnson County,40,65,4710
6,1,39,61,OH,Hamilton County,40,58,3818
6,1,42,91,PA,Montgomery County,40,61,5305
6,1,12,99,FL,Palm Beach County,39,68,5434
6,1,16,1,ID,Ada County,38,59,4824
6,1,18,97,IN,Marion County,38,61,5677
6,1,36,55,NY,Monroe County,38,40,2132
6,1,6,9,CA,Calaveras County,37,65,3113
6,1,44,7,RI,Providence County,37,52,3129
6,1,47,157,TN,Shelby County,37,63,3563
6,1,48,121,TX,Denton County,37,64,4915
6,1,6,69,CA,San Benito County,36,73,2636
6,1,12,31,FL,Duval County,36,56,2772
6,1,9,190,CT,Western Connecticut Planning Regi,35,48,4503
6,1,13,67,GA,Cobb County,35,59,5280
6,1,47,37,TN,Davidson County,35,44,3767
6,1,36,109,NY,Tompkins County,34,42,2183
6,1,8,35,CO,Douglas County,33,61,4582
6,1,48,41,TX,Brazos County,32,40,2601
6,1,6,31,CA,Kings County,31,43,1525
6,1,6,89,CA,Shasta County,31,59,2438
6,1,34,13,NJ,Essex County,31,42,4089
6,1,34,35,NJ,Somerset County,30,61,6811
6,1,41,29,OR,Jackson County,30,38,2416
6,1,48,141,TX,El Paso County,30,47,2028
6,1,6,5,CA,Amador County,29,38,1559
6,1,53,11,WA,Clark County,29,40,2123
6,1,9,110,CT,Capitol Planning Region,28,43,3287
6,1,51,107,VA,Loudoun County,28,76,4881
6,1,6,33,CA,Lake County,27,36,1155
6,1,6,39,CA,Madera County,27,51,1698
6,1,24,27,MD,Howard County,27,42,2588
6,1,12,1,FL,Alachua County,26,37,2255
6,1,21,111,KY,Jefferson County,26,39,1811
6,1,27,123,MN,Ramsey County,26,39,2537
6,1,29,510,MO,St. Louis city,26,33,2591
6,1,36,29,NY,Erie County,26,34,1521
6,1,12,103,FL,Pinellas County,25,32,2408
6,1,25,27,MA,Worcester County,25,48,2767
6,1,34,27,NJ,Morris County,25,45,4316
6,1,36,5,NY,Bronx County,25,44,1929
6,1,41,5,OR,Clackamas County,25,32,1946
6,1,41,17,OR,Deschutes County,24,34,3182
6,1,8,69,CO,Larimer County,23,32,1895
6,1,10,3,DE,New Castle County,23,37,2886
6,1,25,9,MA,Essex County,23,35,4246
6,1,49,49,UT,Utah County,23,31,1145
6,1,53,35,WA,Kitsap County,23,48,2033
6,1,53,67,WA,Thurston County,23,37,2461
6,1,41,3,OR,Benton County,22,29,1060
6,1,8,41,CO,El Paso County,21,34,1001
6,1,34,39,NJ,Union County,21,29,1520
6,1,35,49,NM,Santa Fe County,21,25,2981
6,1,36,1,NY,Albany County,21,38,1814
6,1,45,45,SC,Greenville County,21,25,1410
6,1,53,63,WA,Spokane County,21,28,1947
6,1,6,101,CA,Sutter County,20,34,1038
6,1,6,115,CA,Yuba County,20,31,893
6,1,8,1,CO,Adams County,20,24,1527
6,1,25,15,MA,Hampshire County,20,28,1398
6,1,26,81,MI,Kent County,20,31,1738
6,1,31,55,NE,Douglas County,20,35,1770
6,1,58,0,SS,Other flows - Same State,88,134,5945
6,1,59,0,DS,Other flows - Different State,3175,4848,266025
6,1,59,1,DS,Other flows - Northeast,520,801,50342
6,1,59,3,DS,Other flows - Midwest,800,1222,64754
6,1,59,5,DS,Other flows - South,1271,1992,108323
6,1,59,7,DS,Other flows - West,584,833,42606
6,1,57,9,FR,Foreign - Other flows,-1,-1,-1
6,3,96,0,CA,Alpine County Total Migration-US and Foreign,21,33,1957
6,3,97,0,CA,Alpine County Total Migration-US,21,33,1957
6,3,97,1,CA,Alpine County Total Migration-Same State,21,33,1957
6,3,6,3,CA,Alpine County Non-migrants,350,630,30307
6,3,6,17,CA,El Dorado County,21,33,1957
6,3,58,0,SS,Other flows - Same State,-1,-1,-1
