y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
6,1,96,0,CA,Alameda County Total Migration-US and Foreign,55667,94920,8693754
6,1,97,0,CA,Alameda County Total Migration-US,55628,94850,8691620
6,1,97,1,CA,Alameda County Total Migration-Same State,37525,64178,5821547
6,1,97,3,CA,Alameda County Total Migration-Different State,18103,30672,2870074
6,1,98,0,CA,Alameda County Total Migration-Foreign,39,70,2134
6,1,6,1,CA,Alameda County Non-migrants,634717,1241066,102218029
6,1,6,13,CA,Contra Costa County,8244,15271,1416882
6,1,6,85,CA,Santa Clara County,5221,8248,1032601
6,1,6,77,CA,San Joaquin County,3895,8884,452711
6,1,6,75,CA,San Francisco County,3743,4586,627590
6,1,6,37,CA,Los Angeles County,2365,3222,273826
6,1,6,81,CA,San Mateo County,2139,3228,351083
6,1,6,67,CA,Sacramento County,1961,3521,200792
6,1,6,95,CA,Solano County,1184,2116,111916
6,1,6,73,CA,San Diego County,1106,1684,175316
6,1,53,33,WA,King County,937,1361,192012
6,1,6,99,CA,Stanislaus County,910,1963,69885
6,1,6,59,CA,Orange County,786,1233,150160
6,1,32,3,NV,Clark County,764,1331,109581
6,1,6,61,CA,Placer County,658,1398,120803
6,1,6,97,CA,Sonoma County,622,980,94538
6,1,4,13,AZ,Maricopa County,586,1021,90648
6,1,36,61,NY,New York County,563,639,94817
6,1,48,453,TX,Travis County,476,800,136439
6,1,6,41,CA,Marin County,462,710,94839
6,1,36,47,NY,Kings County,449,513,68963
6,1,41,51,OR,Multnomah County,440,612,54791
6,1,17,31,IL,Cook County,362,507,51807
6,1,6,65,CA,Riverside County,359,605,42838
6,1,48,201,TX,Harris County,346,628,38198
6,1,6,19,CA,Fresno County,337,570,27241
6,1,32,31,NV,Washoe County,318,523,65214
6,1,48,491,TX,Williamson County,299,747,77496
6,1,6,87,CA,Santa Cruz County,294,419,37958
6,1,48,85,TX,Collin County,291,728,56024
6,1,6,71,CA,San Bernardino County,274,459,26922
6,1,48,113,TX,Dallas County,271,474,48789
6,1,6,113,CA,Yolo County,237,360,21389
6,1,25,17,MA,Middlesex County,232,331,32291
6,1,6,17,CA,El Dorado County,230,447,47017
6,1,15,3,HI,Honolulu County,213,347,25145
6,1,6,53,CA,Monterey County,207,342,45968
6,1,6,47,CA,Merced County,199,427,13855
6,1,6,57,CA,Nevada County,186,320,31772
6,1,8,31,CO,Denver County,180,247,33757
6,1,37,183,NC,Wake County,174,431,33329
6,1,11,1,DC,District of Columbia,172,216,26756
6,1,6,55,CA,Napa County,170,275,26825
6,1,13,121,GA,Fulton County,169,289,21589
6,1,16,1,ID,Ada County,159,333,33965
6,1,48,121,TX,Denton County,148,350,39197
6,1,6,111,CA,Ventura County,147,239,17209
6,1,6,83,CA,Santa Barbara County,145,202,28262
6,1,6,7,CA,Butte County,143,229,11434
6,1,49,35,UT,Salt Lake County,143,243,25461
6,1,6,79,CA,San Luis Obispo County,142,223,22775
6,1,36,81,NY,Queens County,139,184,17141
6,1,41,67,OR,Washington County,134,231,18687
6,1,48,439,TX,Tarrant County,133,243,18525
6,1,6,29,CA,Kern County,123,224,8679
6,1,53,11,WA,Clark County,123,231,22687
6,1,42,101,PA,Philadelphia County,121,150,10348
6,1,53,61,WA,Snohomish County,121,225,21705
6,1,6,9,CA,Calaveras County,120,244,18905
6,1,12,86,FL,Miami-Dade County,117,184,26669
6,1,25,25,MA,Suffolk County,117,141,11649
6,1,6,89,CA,Shasta County,114,195,11100
6,1,48,29,TX,Bexar County,114,229,8941
6,1,24,31,MD,Montgomery County,111,183,12896
6,1,4,19,AZ,Pima County,102,161,11137
6,1,34,17,NJ,Hudson County,96,126,17996
6,1,37,119,NC,Mecklenburg County,96,195,12247
6,1,41,39,OR,Lane County,94,147,11671
6,1,12,11,FL,Broward County,92,148,14915
6,1,27,53,MN,Hennepin County,92,150,13264
6,1,6,109,CA,Tuolumne County,91,158,13026
6,1,6,107,CA,Tulare County,88,151,6052
6,1,53,53,WA,Pierce County,88,161,13523
6,1,48,157,TX,Fort Bend County,87,215,14707
6,1,8,13,CO,Boulder County,86,142,20900
6,1,41,5,OR,Clackamas County,85,174,14449
6,1,42,3,PA,Allegheny County,85,122,12419
6,1,6,23,CA,Humboldt County,83,134,7745
6,1,51,59,VA,Fairfax County,81,142,11439
6,1,12,95,FL,Orange County,78,132,12228
6,1,41,17,OR,Deschutes County,78,136,15640
6,1,47,37,TN,Davidson County,77,121,9545
6,1,6,39,CA,Madera County,75,156,6461
6,1,12,57,FL,Hillsborough County,74,122,9739
6,1,8,35,CO,Douglas County,71,144,12433
6,1,8,5,CO,Arapahoe County,70,143,10124
6,1,13,89,GA,DeKalb County,70,107,7268
6,1,8,41,CO,El Paso County,68,129,7524
6,1,37,63,NC,Durham County,66,90,9686
6,1,6,45,CA,Mendocino County,64,89,11040
6,1,12,99,FL,Palm Beach County,64,96,15135
6,1,13,135,GA,Gwinnett County,63,131,8123
6,1,8,59,CO,Jefferson County,61,90,10691
6,1,26,161,MI,Washtenaw County,61,81,6479
6,1,36,119,NY,Westchester County,61,117,19352
6,1,6,69,CA,San Benito County,60,112,9011
6,1,49,49,UT,Utah County,60,148,7919
6,1,41,29,OR,Jackson County,59,89,6201
6,1,13,67,GA,Cobb County,58,98,8697
6,1,16,27,ID,Canyon County,55,127,9938
6,1,39,49,OH,Franklin County,54,78,6488
6,1,12,31,FL,Duval County,52,90,11867
6,1,24,510,MD,Baltimore city,52,68,5162
6,1,53,35,WA,Kitsap County,52,87,6847
6,1,6,5,CA,Amador County,51,87,7095
6,1,35,1,NM,Bernalillo County,51,73,4785
6,1,26,125,MI,Oakland County,50,87,7553
6,1,48,339,TX,Montgomery County,50,116,9354
6,1,6,33,CA,Lake County,48,71,4323
6,1,26,163,MI,Wayne County,48,92,8077
6,1,36,59,NY,Nassau County,48,71,5923
6,1,39,35,OH,Cuyahoga County,48,61,5241
6,1,12,103,FL,Pinellas County,47,68,8296
6,1,32,5,NV,Douglas County,47,82,18196
6,1,53,73,WA,Whatcom County,47,70,7830
6,1,4,25,AZ,Yavapai County,46,72,8162
6,1,55,25,WI,Dane County,46,73,6189
6,1,34,23,NJ,Middlesex County,45,81,5485
6,1,4,21,AZ,Pinal County,44,75,5029
6,1,6,115,CA,Yuba County,44,83,3210
6,1,29,189,MO,St. Louis County,43,74,5138
6,1,53,63,WA,Spokane County,43,89,7176
6,1,9,170,CT,South Central Connecticut Plannin,42,65,3363
6,1,15,9,HI,Maui County,42,69,10653
6,1,37,21,NC,Buncombe County,42,63,5742
6,1,44,7,RI,Providence County,42,59,4373
6,1,53,67,WA,Thurston County,42,70,3929
6,1,13,117,GA,Forsyth County,41,117,9043
6,1,15,1,HI,Hawaii County,40,71,6532
6,1,27,123,MN,Ramsey County,40,78,4873
6,1,8,69,CO,Larimer County,39,65,6515
6,1,34,21,NJ,Mercer County,39,62,6717
6,1,51,13,VA,Arlington County,39,59,6227
6,1,57,5,FR,Foreign - APO/FPO ZIPs,39,70,2134
6,1,17,43,IL,DuPage County,38,68,6638
6,1,41,47,OR,Marion County,38,64,3665
6,1,17,97,IL,Lake County,37,78,7038
6,1,55,79,WI,Milwaukee County,36,58,4282
6,1,24,33,MD,Prince George's County,35,49,3468
6,1,47,187,TN,Williamson County,35,85,10105
6,1,18,57,IN,Hamilton County,34,68,3467
6,1,48,141,TX,El Paso County,34,55,1879
6,1,35,49,NM,Santa Fe County,33,46,5271
6,1,39,61,OH,Hamilton County,33,58,4386
6,1,48,209,TX,Hays County,33,79,12540
6,1,8,1,CO,Adams County,32,46,4026
6,1,22,71,LA,Orleans Parish,32,47,5268
6,1,25,21,MA,Norfolk County,32,47,3370
6,1,36,55,NY,Monroe County,32,53,5559
6,1,12,101,FL,Pasco County,31,69,4493
6,1,29,95,MO,Jackson County,30,54,2909
6,1,32,19,NV,Lyon County,30,51,2486
6,1,16,55,ID,Kootenai County,29,53,6800
6,1,18,97,IN,Marion County,29,51,1447
6,1,34,13,NJ,Essex County,29,67,7088
6,1,47,65,TN,Hamilton County,29,57,5431
6,1,47,93,TN,Knox County,29,54,3492
6,1,51,107,VA,Loudoun County,29,77,7170
6,1,6,101,CA,Sutter County,28,52,1432
6,1,12,71,FL,Lee County,28,40,3560
6,1,23,5,ME,Cumberland County,28,48,5208
6,1,2,20,AK,Anchorage Municipality,27,47,2109
6,1,9,190,CT,Western Connecticut Planning Regi,27,48,4482
6,1,12,21,FL,Collier County,27,50,3931
6,1,12,105,FL,Polk County,27,46,1900
6,1,26,81,MI,Kent County,27,53,4352
6,1,34,3,NJ,Bergen County,27,48,4434
6,1,36,103,NY,Suffolk County,27,33,2252
6,1,36,109,NY,Tompkins County,27,44,1779
6,1,37,135,NC,Orange County,27,48,7177
6,1,41,3,OR,Benton County,27,46,3266
6,1,42,91,PA,Montgomery County,27,49,5814
6,1,48,27,TX,Bell County,27,46,2479
6,1,6,31,CA,Kings County,26,37,1104
6,1,6,93,CA,Siskiyou County,26,36,3323
6,1,41,19,OR,Douglas County,26,36,2315
6,1,10,3,DE,New Castle County,25,43,3206
6,1,20,91,KS,Johnson County,25,55,2576
6,1,36,29,NY,Erie County,25,44,2154
6,1,40,143,OK,Tulsa County,25,40,1627
6,1,6,103,CA,Tehama County,24,33,1486
6,1,29,510,MO,St. Louis city,24,32,2175
6,1,42,29,PA,Chester County,24,47,4983
6,1,51,810,VA,Virginia Beach city,24,35,1908
6,1,25,9,MA,Essex County,23,46,9509
6,1,40,109,OK,Oklahoma County,23,43,2222
6,1,50,7,VT,Chittenden County,23,41,3647
6,1,5,7,AR,Benton County,22,37,2474
6,1,8,123,CO,Weld County,22,35,3262
6,1,9,110,CT,Capitol Planning Region,22,38,3052
6,1,12,9,FL,Brevard County,22,48,3355
6,1,12,81,FL,Manatee County,22,38,3179
6,1,21,111,KY,Jefferson County,22,42,3708
6,1,25,15,MA,Hampshire County,22,37,3066
6,1,31,55,NE,Douglas County,22,39,1268
6,1,32,510,NV,Carson City,22,35,2128
6,1,42,45,PA,Delaware County,22,37,5531
6,1,53,9,WA,Clallam County,22,35,4594
6,1,36,1,NY,Albany County,21,29,1598
6,1,47,157,TN,Shelby County,21,24,2152
6,1,13,63,GA,Clayton County,20,31,1177
6,1,25,27,MA,Worcester County,20,37,2840
6,1,37,133,NC,Onslow County,20,44,1205
6,1,37,179,NC,Union County,20,55,4584
6,1,45,19,SC,Charleston County,20,36,2576
6,1,47,149,TN,Rutherford County,20,29,2383
6,1,58,0,SS,Other flows - Same State,94,159,10007
6,1,59,0,DS,Other flows - Different State,3712,6504,456861
6,1,59,1,DS,Other flows - Northeast,593,969,72372
6,1,59,3,DS,Other flows - Midwest,766,1366,86395
6,1,59,5,DS,Other flows - South,1658,3035,202887
6,1,59,7,DS,Other flows - West,695,1134,95207
6,1,57,9,FR,Foreign - Other flows,-1,-1,-1
6,3,96,0,CA,Alpine County Total Migration-US and Foreign,58,89,7187
6,3,97,0,CA,Alpine County Total Migration-US,58,89,7187
6,3,97,1,CA,Alpine County Total Migration-Same State,27,41,4242
6,3,97,3,CA,Alpine County Total Migration-Different State,31,48,2945
6,3,6,3,CA,Alpine County Non-migrants,350,630,30307
6,3,58,0,SS,Other flows - Same State,27,41,4242
6,3,59,0,DS,Other flows - Different State,31,48,2945
6,3,59,1,DS,Other flows - Northeast,-1,-1,-1
6,3,59,3,DS,Other flows - Midwest,-1,-1,-1
6,3,59,5,DS,Other flows - South,-1,-1,-1
6,3,59,7,DS,Other flows - West,31,48,2945
6,5,96,0,CA,Amador County Total Migration-US and Foreign,1159,1942,70112
6,5,97,0,CA,Amador County Total Migration-US,1159,1942,70112
6,5,97,1,CA,Amador County Total Migration-Same State,781,1234,45549
6,5,97,3,CA,Amador County Total Migration-Different State,378,708,24562
6,5,6,5,CA,Amador County Non-migrants,14897,28200,1249814
6,5,6,67,CA,Sacramento County,166,276,9753
6,5,6,77,CA,San Joaquin County,77,134,3891
6,5,6,9,CA,Calaveras County,62,113,3868
6,5,6,17,CA,El Dorado County,60,117,4011
6,5,6,61,CA,Placer County,40,70,3293
6,5,6,37,CA,Los Angeles County,30,34,516
