Time,P_Value,Effect_Size,Pct_Diff_Mean
12am,0.9764063559462433,-3.2324334819676745e-4,0.0018319164728973086
1am,0.766427902086094,-0.0032465027772920325,-0.0013178067250559985
2am,0.7215442150121733,-0.0038950936262834544,0.02103958458421203
3am,0.5950511886185257,-0.005809163597967211,0.010840399618571622
4am,0.6076739049280837,-0.005610975866572019,0.025295484407490153
5am,0.713459748617,-0.004013322531118206,0.0126130865441641
6am,0.2797026717960656,-0.011814247483620375,-0.006758425845435544
7am,0.09809214132495854,-0.01807867551272211,-0.01634739495141448
8am,0.05200814609177702,-0.02123855152393906,-2.1837311012041
9am,9.174302153331537e-4,-0.036228884311173326,-3.2793341601867954
10am,2.9706823426622817e-7,-0.05601836277261956,-5.196988915746262
11am,4.290649108899187e-9,-0.06418599235014955,-0.0691681027910574
12pm,3.312657489254876e-10,-0.06868017307805946,-0.07956049956745394
1pm,0.0014970321058913646,-0.03470693977984316,-0.05782395132029307
2pm,0.40661272966840006,-0.00907028608805896,-0.005073920004833228
3pm,3.7967784151950176e-14,-0.08271901321044269,-7.6589267655512865
4pm,1.7673785169281938e-135,-0.27075966404194385,-0.2486795355562113
5pm,3.605259919944946e-183,-0.3154339989004535,-28.397490028036984
6pm,3.5728247673088275e-137,-0.2724727421112358,-25.47825787542893
7pm,3.434661495890878e-4,-0.03912966880477301,-5.036205110559983
8pm,2.320499583845668e-25,-0.11373862056812045,15.253878095250528
9pm,1.5121431644154268e-14,-0.08401173972725726,10.550105276332413
10pm,0.007081077513109409,-0.02943572647805732,0.03828750458499148
11pm,0.48929988310901457,-0.007557548873799603,0.015193130106784261
