label,p.value,statistic_W,n1,n2,U,z,r
1am,0.4699531844973013,7861641,2791,5580,3965405,-0.7225552260092648,-0.007897367997741857
3am,0.0014875958138407727,8117007,2791,5581,4220771,-3.1770924997507493,-0.034722840827101295
4am,0.00392969880519805,8085228,2791,5580,4188992,-2.8837505667605616,-0.03151875264287796
5am,0.08624422162661623,7965794,2791,5581,4069558,-1.715551173427926,-0.018749473089108373
6am,0.18681340502713828,7924872,2791,5581,4028636,-1.3200647366307894,-0.01442715241532825
7am,0.07511540794131827,7972430.5,2791,5581,4076194.5,-1.7797590134631767,-0.019451208593998737
8am,0.2490292751825537,7907554,2791,5581,4011318,-1.152710390540903,-0.012598115860220511
9am,0.03928150129508366,8002985,2791,5582,4106749,-2.061225820407414,-0.022526049208754718
10am,0.11723814640082307,7951782.5,2791,5582,4055546.5,-1.5664720523093167,-0.017119146376443163
11am,0.005427519785490096,8074536,2791,5580,4178300,-2.7805003700229074,-0.030390250944841605
12pm,2.7325949260262897e-4,8163412.5,2791,5580,4267176.5,-3.6394137026462445,-0.039777982735748854
12pm,0.3827709877960231,7875778,2791,5579,3979542,-0.8728020394642595,-0.009540102116759779
1pm,0.0027416863571495557,8096764,2791,5580,4200528,-2.995307120640137,-0.03273804097798943
1pm,0.4699531844973013,7861641,2791,5580,3965405,-0.7225552260092648,-0.007897367997741857
2pm,0.018147981345162132,8034165,2791,5582,4137929,-2.3625849559363696,-0.025819444162972428
3pm,0.0024927023478602773,8099759.5,2791,5580,4203523.5,-3.0242259000140055,-0.033054116807960686
4pm,0.36004761806335295,7881575.5,2791,5580,3985339.5,-0.9152743559776007,-0.010003745247229875
5pm,0.18242160380571945,7924826,2791,5580,4028590,-1.3333358808824314,-0.014573064780223242
6pm,0.8166772763978296,7813671.5,2791,5582,3917435.5,-0.23182070295684706,-0.0025334461225514273
7pm,0.9686206652634984,7790960,2791,5580,3894724,-0.039338307511226654,-4.2995895627292297e-4
8pm,0.8272757315887609,7810861,2791,5581,3914625,-0.21819685988974727,-0.0023847007399121697
9pm,0.9075032555980427,7776264,2791,5581,3880028,-0.11618836763150395,-0.0012698371846416015
10pm,0.6677425607250842,7832699.5,2791,5581,3936463.5,-0.4292482667746063,-0.004691307931290347
11pm,0.6992242253418925,7825460,2791,5579,3929224,-0.3863678927648215,-0.004223167436542896
eightam,0.017384417897964695,8034394,2791,5581,4138158,-2.3784749535620464,-0.025994649897748103
