"X","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager"
1,"WC-1930","T-03","Argentina","Group 1",3,3,0,0,10,4,6,6,1,"CONMEBOL","South America",1930,0,22,24.8636363636364,0.454545454545455,0.227272727272727,1.09090909090909,0,0,1,0,0,0,0,0
2,"WC-1930","T-13","Chile","Group 1",3,2,0,1,5,3,2,4,0,"CONMEBOL","South America",1930,0,19,26.3684210526316,0.421052631578947,0.210526315789474,1,0,0,1,0,0,0,0,1
3,"WC-1930","T-30","France","Group 1",3,1,0,2,4,3,1,2,0,"UEFA","Europe",1930,0,16,24.125,0.375,0.25,1.5625,0,0,1,0,0,0,0,0
4,"WC-1930","T-46","Mexico","Group 1",3,0,0,3,4,13,-9,0,0,"CONCACAF","North America",1930,0,17,24.5294117647059,0.470588235294118,0.176470588235294,1,0,0,1,0,0,0,0,0
5,"WC-1930","T-87","Yugoslavia","Group 2",2,2,0,0,6,1,5,4,1,"UEFA","Europe",1930,0,17,22.0588235294118,0.411764705882353,0.235294117647059,1,0,0,1,0,0,0,0,0
6,"WC-1930","T-09","Brazil","Group 2",2,1,0,1,5,2,3,2,0,"CONMEBOL","South America",1930,0,24,24.7916666666667,0.458333333333333,0.208333333333333,1.08333333333333,0,0,1,0,0,0,0,0
7,"WC-1930","T-07","Bolivia","Group 2",2,0,0,2,0,8,-8,0,0,"CONMEBOL","South America",1930,0,17,25,0.352941176470588,0.176470588235294,1,0,0,1,0,0,0,0,0
8,"WC-1930","T-84","Uruguay","Group 3",2,2,0,0,5,0,5,4,1,"CONMEBOL","South America",1930,0,22,26.6818181818182,0.454545454545455,0.181818181818182,1,0,0,1,0,0,0,1,0
9,"WC-1930","T-61","Romania","Group 3",2,1,0,1,3,5,-2,2,0,"UEFA","Europe",1930,0,15,23.2666666666667,0.4,0.266666666666667,1.26666666666667,0,0,1,0,0,0,0,0
10,"WC-1930","T-56","Peru","Group 3",2,0,0,2,1,4,-3,0,0,"CONMEBOL","South America",1930,0,22,23.4736842105263,0.409090909090909,0.181818181818182,1,0,0,1,0,0,0,0,1
11,"WC-1930","T-83","United States","Group 4",2,2,0,0,6,0,6,4,1,"CONCACAF","North America",1930,0,16,26.5,0.5625,0.1875,1.25,0,0,1,0,0,0,0,1
12,"WC-1930","T-55","Paraguay","Group 4",2,1,0,1,1,3,-2,2,0,"CONMEBOL","South America",1930,0,22,24.5,0.454545454545455,0.181818181818182,1,0,0,1,0,0,0,0,1
13,"WC-1930","T-06","Belgium","Group 4",2,0,0,2,0,4,-4,0,0,"UEFA","Europe",1930,0,16,25.5,0.375,0.1875,1.375,0,0,1,0,0,0,0,0
14,"WC-1954","T-09","Brazil","Group 1",2,1,1,0,6,1,5,3,1,"CONMEBOL","South America",1954,2,22,26,0.363636363636364,0.272727272727273,1.77272727272727,0.272727272727273,1,0.727272727272727,0,0,0,0,0
15,"WC-1954","T-87","Yugoslavia","Group 1",2,1,1,0,2,1,1,3,1,"UEFA","Europe",1954,2,22,27,0.363636363636364,0.318181818181818,1.68181818181818,0.363636363636364,1,0.636363636363636,0,0,0,0,0
16,"WC-1954","T-30","France","Group 1",2,1,0,1,3,3,0,2,0,"UEFA","Europe",1954,1,22,26.0454545454545,0.409090909090909,0.227272727272727,1.40909090909091,0,0,1,0,0,0,0,0
17,"WC-1954","T-46","Mexico","Group 1",2,0,0,2,2,8,-6,0,0,"CONCACAF","North America",1954,2,22,26.1818181818182,0.5,0.227272727272727,1.63636363636364,0.227272727272727,1,0.772727272727273,0,0,0,0,1
18,"WC-1954","T-36","Hungary","Group 2",2,2,0,0,17,3,14,4,1,"UEFA","Europe",1954,0,22,26.6363636363636,0.409090909090909,0.227272727272727,1.36363636363636,0,0,1,0,0,0,0,0
19,"WC-1954","T-86","West Germany","Group 2",2,1,0,1,7,9,-2,2,1,"UEFA","Europe",1954,0,22,28.0454545454545,0.363636363636364,0.272727272727273,1.40909090909091,0,0,1,0,0,0,0,1
20,"WC-1954","T-80","Turkey","Group 2",2,1,0,1,8,4,4,2,0,"UEFA","Europe, Asia",1954,0,22,23.7727272727273,0.363636363636364,0.363636363636364,1,0,0,1,0,0,0,0,1
21,"WC-1954","T-71","South Korea","Group 2",2,0,0,2,0,16,-16,0,0,"AFC","East Asia",1954,0,20,30,0.4,0.25,1,0,0,1,0,0,0,0,0
22,"WC-1954","T-84","Uruguay","Group 3",2,2,0,0,9,0,9,4,1,"CONMEBOL","South America",1954,2,22,26.9545454545455,0.454545454545455,0.181818181818182,1.45454545454545,0.363636363636364,1,0.636363636363636,0,0,0,0,0
23,"WC-1954","T-05","Austria","Group 3",2,2,0,0,6,0,6,4,1,"UEFA","Europe",1954,0,22,26.6363636363636,0.318181818181818,0.181818181818182,1.5,0,0,1,0,0,0,0,0
24,"WC-1954","T-21","Czechoslovakia","Group 3",2,0,0,2,0,7,-7,0,0,"UEFA","Europe",1954,0,22,26.1818181818182,0.454545454545455,0.181818181818182,1.5,0,0,1,0,0,0,0,0
25,"WC-1954","T-64","Scotland","Group 3",2,0,0,2,0,8,-8,0,0,"UEFA","Europe",1954,0,22,26.7727272727273,0.545454545454545,0.227272727272727,1.18181818181818,0,0,1,0,0,0,0,0
26,"WC-1954","T-28","England","Group 4",2,1,1,0,6,4,2,3,1,"UEFA","Europe",1954,1,22,28.6363636363636,0.454545454545455,0.136363636363636,1.40909090909091,0.227272727272727,1,0.772727272727273,0,0,0,0,0
27,"WC-1954","T-75","Switzerland","Group 4",2,1,0,1,2,3,-1,2,1,"UEFA","Europe",1954,1,22,27.3181818181818,0.363636363636364,0.181818181818182,1.54545454545455,0.318181818181818,1,0.681818181818182,0,0,0,1,1
28,"WC-1954","T-41","Italy","Group 4",2,1,0,1,5,3,2,2,0,"UEFA","Europe",1954,1,22,26.6818181818182,0.409090909090909,0.181818181818182,1.31818181818182,0.318181818181818,1,0.681818181818182,0,0,0,0,1
29,"WC-1954","T-06","Belgium","Group 4",2,0,1,1,5,8,-3,1,0,"UEFA","Europe",1954,1,22,26.7727272727273,0.318181818181818,0.227272727272727,1,0,0,1,0,0,0,0,1
